,Italy,"Korea, South",US,China
1/22/20,0.0,0.01937984496124031,0.0030358227079538558,0.3914285714285714
1/23/20,0.0,0.01937984496124031,0.0030358227079538558,0.4592857142857143
1/24/20,0.0,0.03875968992248062,0.0060716454159077116,0.6571428571428571
1/25/20,0.0,0.03875968992248062,0.0060716454159077116,1.0042857142857142
1/26/20,0.0,0.05813953488372093,0.015179113539769279,1.4821428571428572
1/27/20,0.0,0.07751937984496124,0.015179113539769279,2.055
1/28/20,0.0,0.07751937984496124,0.015179113539769279,3.935
1/29/20,0.0,0.07751937984496124,0.015179113539769279,4.347857142857142
1/30/20,0.0,0.07751937984496124,0.015179113539769279,5.815
1/31/20,0.03210272873194222,0.2131782945736434,0.02125075895567699,7.001428571428572
2/1/20,0.03210272873194222,0.23255813953488372,0.024286581663630846,8.493571428571428
2/2/20,0.03210272873194222,0.29069767441860467,0.024286581663630846,11.878571428571428
2/3/20,0.03210272873194222,0.29069767441860467,0.033394049787492414,14.082857142857144
2/4/20,0.03210272873194222,0.31007751937984496,0.033394049787492414,16.93357142857143
2/5/20,0.03210272873194222,0.3682170542635659,0.033394049787492414,19.6
2/6/20,0.03210272873194222,0.44573643410852715,0.033394049787492414,21.847857142857144
2/7/20,0.048154093097913325,0.46511627906976744,0.033394049787492414,24.364285714285714
2/8/20,0.048154093097913325,0.46511627906976744,0.033394049787492414,26.295714285714286
2/9/20,0.048154093097913325,0.4844961240310077,0.033394049787492414,28.449285714285715
2/10/20,0.048154093097913325,0.5232558139534883,0.033394049787492414,30.252857142857142
2/11/20,0.048154093097913325,0.5426356589147286,0.03642987249544627,31.704285714285714
2/12/20,0.048154093097913325,0.5426356589147286,0.03642987249544627,31.970714285714287
2/13/20,0.048154093097913325,0.5426356589147286,0.039465695203400125,42.78214285714286
2/14/20,0.048154093097913325,0.5426356589147286,0.039465695203400125,47.39857142857143
2/15/20,0.048154093097913325,0.5426356589147286,0.039465695203400125,48.86642857142857
2/16/20,0.048154093097913325,0.562015503875969,0.039465695203400125,50.36642857142857
2/17/20,0.048154093097913325,0.5813953488372093,0.039465695203400125,51.738571428571426
2/18/20,0.048154093097913325,0.6007751937984496,0.039465695203400125,53.00785714285714
2/19/20,0.048154093097913325,0.6007751937984496,0.039465695203400125,53.299285714285716
2/20/20,0.048154093097913325,2.0155038759689923,0.039465695203400125,53.62642857142857
2/21/20,0.32102728731942215,3.953488372093023,0.04553734061930784,53.964285714285715
2/22/20,0.9951845906902087,8.391472868217054,0.04553734061930784,55.00071428571429
2/23/20,2.4879614767255216,11.666666666666666,0.04553734061930784,55.01571428571429
2/24/20,3.6757624398073836,16.143410852713178,0.15482695810564664,55.17214285714286
2/25/20,5.168539325842697,18.934108527131784,0.15482695810564664,55.53857142857143
2/26/20,7.271268057784912,24.43798449612403,0.17304189435336978,55.832857142857144
2/27/20,10.513643659711075,34.224806201550386,0.17607771706132364,56.142857142857146
2/28/20,14.253611556982344,45.2906976744186,0.18214936247723135,56.37714285714286
2/29/20,18.10593900481541,61.04651162790697,0.2064359441408622,56.682857142857145
3/1/20,27.191011235955056,72.40310077519379,0.22465088038858533,57.09428571428571
3/2/20,32.68057784911718,84.01162790697674,0.29751062537947787,57.24
3/3/20,40.16051364365971,100.50387596899225,0.358227079538555,57.32928571428572
3/4/20,49.582664526484756,108.93410852713178,0.4523375834851245,57.418571428571425
3/5/20,61.92616372391654,117.98449612403101,0.6587735276259867,57.526428571428575
3/6/20,74.41412520064206,127.77131782945736,0.7953855494839102,57.635714285714286
3/7/20,94.43017656500803,136.453488372093,1.22040072859745,57.69285714285714
3/8/20,118.37881219903693,141.74418604651163,1.5725561627200972,57.730714285714285
3/9/20,147.223113964687,144.92248062015503,1.769884638737098,57.75714285714286
3/10/20,162.90529695024077,145.60077519379846,2.9113539769277477,57.776428571428575
3/11/20,200.03210272873196,150.2906976744186,3.8888888888888893,57.800714285714285
3/12/20,200.03210272873196,152.5,5.048573163327262,57.808571428571426
3/13/20,283.4670947030498,154.63178294573643,6.615057680631452,57.81785714285714
3/14/20,339.5987158908507,156.70542635658913,8.278688524590164,57.840714285714284
3/15/20,397.223113964687,158.1782945736434,10.62234365513054,57.85928571428571
3/16/20,449.1171749598716,159.6124031007752,14.061930783242259,57.880714285714284
3/17/20,505.7142857142857,161.24031007751938,19.49301760777171,57.89857142857143
3/18/20,573.2423756019261,163.04263565891472,23.62780813600486,57.93
